band	brightness	koef
0.000000	1.630137	1.226891
1.000000	1.625000	1.230769
2.000000	1.402397	1.426129
3.000000	1.481164	1.350289
4.000000	1.422945	1.405535
5.000000	1.527397	1.309417
6.000000	1.583904	1.262703
7.000000	1.585616	1.261339
8.000000	1.881849	1.062784
9.000000	1.529110	1.307951
10.000000	1.796233	1.113441
11.000000	1.479452	1.351852
12.000000	1.708904	1.170341
13.000000	1.847603	1.082484
14.000000	1.729452	1.156436
15.000000	1.681507	1.189409
16.000000	1.917808	1.042857
17.000000	1.416096	1.412334
18.000000	1.559932	1.282108
19.000000	1.690068	1.183384
20.000000	1.376712	1.452736
21.000000	1.518836	1.316798
22.000000	1.549658	1.290608
23.000000	1.434932	1.393795
24.000000	1.573630	1.270947
25.000000	1.556507	1.284928
26.000000	1.702055	1.175050
27.000000	1.438356	1.390476
28.000000	1.601027	1.249198
29.000000	1.520548	1.315315
30.000000	1.880137	1.063752
31.000000	1.664384	1.201646
32.000000	1.818493	1.099812
33.000000	1.832192	1.091589
34.000000	1.729452	1.156436
35.000000	1.722603	1.161034
36.000000	1.907534	1.048474
37.000000	1.585616	1.261339
38.000000	1.794521	1.114504
39.000000	1.623288	1.232068
40.000000	1.743151	1.147348
41.000000	2.077055	0.962902
42.000000	1.866438	1.071560
43.000000	2.037671	0.981513
44.000000	1.922945	1.040071
45.000000	1.821918	1.097744
46.000000	1.917808	1.042857
47.000000	1.989726	1.005164
48.000000	2.034247	0.983165
49.000000	1.837329	1.088537
50.000000	1.984589	1.007765
51.000000	1.813356	1.102927
52.000000	1.910959	1.046595
53.000000	1.717466	1.164506
54.000000	1.664384	1.201646
55.000000	1.905822	1.049416
56.000000	2.107877	0.948822
57.000000	1.712329	1.168000
58.000000	1.820205	1.098777
59.000000	2.025685	0.987320
60.000000	1.970890	1.014770
61.000000	1.895548	1.055104
62.000000	1.835616	1.089552
63.000000	1.893836	1.056058
64.000000	2.102740	0.951140
65.000000	2.044521	0.978224
66.000000	2.133562	0.937400
67.000000	1.967466	1.016536
68.000000	2.106164	0.949593
69.000000	2.186644	0.914644
70.000000	1.688356	1.184584
71.000000	1.902397	1.051305
72.000000	1.940068	1.030891
73.000000	2.114726	0.945749
74.000000	1.813356	1.102927
75.000000	1.972603	1.013889
76.000000	1.715753	1.165669
77.000000	1.791096	1.116635
78.000000	1.922945	1.040071
79.000000	1.890411	1.057971
80.000000	1.880137	1.063752
81.000000	2.042808	0.979044
82.000000	2.172945	0.920410
83.000000	2.025685	0.987320
84.000000	1.948630	1.026362
85.000000	1.827055	1.094658
86.000000	1.958904	1.020979
87.000000	1.950342	1.025461
88.000000	2.044521	0.978224
89.000000	1.986301	1.006897
90.000000	2.303082	0.868401
91.000000	2.215753	0.902628
92.000000	2.118151	0.944220
93.000000	2.001712	0.999145
94.000000	2.157534	0.926984
95.000000	1.847603	1.082484
96.000000	2.078767	0.962109
97.000000	2.210616	0.904725
98.000000	1.962329	1.019197
99.000000	2.183219	0.916078
100.000000	2.082192	0.960526
101.000000	2.145548	0.932163
102.000000	2.000000	1.000000
103.000000	2.068493	0.966887
104.000000	2.248288	0.889566
105.000000	1.964041	1.018309
106.000000	1.883562	1.061818
107.000000	2.070205	0.966088
108.000000	1.816781	1.100848
109.000000	2.232877	0.895706
110.000000	1.965753	1.017422
111.000000	2.328767	0.858824
112.000000	2.181507	0.916797
113.000000	2.166096	0.923320
114.000000	2.126712	0.940419
115.000000	2.145548	0.932163
116.000000	1.854452	1.078486
117.000000	2.226027	0.898462
118.000000	2.284247	0.875562
119.000000	2.018836	0.990670
120.000000	2.005137	0.997438
121.000000	1.934932	1.033628
122.000000	2.006849	0.996587
123.000000	2.179795	0.917518
124.000000	2.073630	0.964492
125.000000	2.099315	0.952692
126.000000	1.982877	1.008636
127.000000	2.198630	0.909657
128.000000	2.101027	0.951915
129.000000	1.924658	1.039146
130.000000	2.339041	0.855051
131.000000	2.005137	0.997438
132.000000	1.922945	1.040071
133.000000	2.056507	0.972523
134.000000	2.035959	0.982338
135.000000	2.226027	0.898462
136.000000	2.229452	0.897081
137.000000	2.172945	0.920410
138.000000	1.859589	1.075506
139.000000	2.243151	0.891603
140.000000	2.205479	0.906832
141.000000	2.381849	0.839684
142.000000	2.243151	0.891603
143.000000	2.398973	0.833690
144.000000	2.287671	0.874251
145.000000	1.979452	1.010381
146.000000	2.160959	0.925515
147.000000	2.102740	0.951140
148.000000	2.101027	0.951915
149.000000	2.049658	0.975773
150.000000	2.421233	0.826025
151.000000	2.198630	0.909657
152.000000	2.342466	0.853801
153.000000	2.053082	0.974145
154.000000	2.032534	0.983993
155.000000	2.294521	0.871642
156.000000	2.549658	0.784419
157.000000	2.191781	0.912500
158.000000	2.219178	0.901235
159.000000	2.095890	0.954248
160.000000	2.272260	0.880181
161.000000	2.253425	0.887538
162.000000	2.208904	0.905426
163.000000	2.082192	0.960526
164.000000	2.462329	0.812239
165.000000	2.152397	0.929196
166.000000	2.157534	0.926984
167.000000	2.128425	0.939662
168.000000	2.171233	0.921136
169.000000	2.318493	0.862629
170.000000	2.373288	0.842713
171.000000	2.176370	0.918961
172.000000	2.258562	0.885519
173.000000	2.371575	0.843321
174.000000	2.434932	0.821378
175.000000	2.371575	0.843321
176.000000	2.296233	0.870992
177.000000	2.347603	0.851933
178.000000	2.469178	0.809986
179.000000	2.354452	0.849455
180.000000	2.063356	0.969295
181.000000	2.443493	0.818500
182.000000	2.308219	0.866469
183.000000	2.652397	0.754035
184.000000	2.205479	0.906832
185.000000	2.217466	0.901931
186.000000	2.397260	0.834286
187.000000	2.380137	0.840288
188.000000	2.417808	0.827195
189.000000	2.409247	0.830135
190.000000	2.253425	0.887538
191.000000	2.085616	0.958949
192.000000	2.375000	0.842105
193.000000	2.323630	0.860722
194.000000	2.477740	0.807187
195.000000	2.287671	0.874251
196.000000	2.116438	0.944984
197.000000	2.090753	0.956593
198.000000	2.301370	0.869048
199.000000	2.436644	0.820801
200.000000	2.047945	0.976589
201.000000	2.196918	0.910366
202.000000	2.147260	0.931419
203.000000	2.217466	0.901931
204.000000	2.443493	0.818500
205.000000	2.565068	0.779706
206.000000	2.469178	0.809986
207.000000	2.208904	0.905426
208.000000	2.469178	0.809986
209.000000	2.383562	0.839080
210.000000	2.325342	0.860088
211.000000	2.205479	0.906832
212.000000	2.414384	0.828369
213.000000	2.263699	0.883510
214.000000	2.457192	0.813937
215.000000	2.465753	0.811111
216.000000	2.561644	0.780749
217.000000	2.441781	0.819074
218.000000	2.493151	0.802198
219.000000	2.250000	0.888889
220.000000	2.191781	0.912500
221.000000	2.460616	0.812804
222.000000	2.450342	0.816212
223.000000	2.513699	0.795640
224.000000	2.684932	0.744898
225.000000	2.583904	0.774023
226.000000	2.251712	0.888213
227.000000	2.328767	0.858824
228.000000	2.315068	0.863905
